From	To
ABR_MOUSE	Abr
ABT1_MOUSE	Abt1
ABTB1_MOUSE	Abtb1
ABTB2_MOUSE	Abtb2
ACACA_MOUSE	Acaca
ACACB_MOUSE	Acacb
ACAD8_MOUSE	Acad8
ACAD9_MOUSE	Acad9
ACADL_MOUSE	Acadl
ACADM_MOUSE	Acadm
ACADS_MOUSE	Acads
ACADV_MOUSE	Acadvl
ACAP1_MOUSE	Acap1
ACAP2_MOUSE	Acap2
ACATN_MOUSE	Slc33a1
ACBD5_MOUSE	Acbd5
ACBD6_MOUSE	Acbd6
ACBD7_MOUSE	Acbd7
ACBG1_MOUSE	Acsbg1
ACBG2_MOUSE	Acsbg2
ACBP_MOUSE	Dbi
ACD10_MOUSE	Acad10
ACD11_MOUSE	Acad11
ACDSB_MOUSE	Acadsb
ACD_MOUSE	Acd
ACE2_MOUSE	Ace2
ACER1_MOUSE	Acer1
ACER2_MOUSE	Acer2
ACER3_MOUSE	Acer3
ACES_MOUSE	Ache
ACE_MOUSE	Ace
ACHA2_MOUSE	Chrna2
ACHA3_MOUSE	Chrna3
ACHA4_MOUSE	Chrna4
ACHA5_MOUSE	Chrna5
ACHA6_MOUSE	Chrna6
ACHA7_MOUSE	Chrna7
ACHA_MOUSE	Chrna1
ACHB2_MOUSE	Chrnb2
ACHB3_MOUSE	Chrnb3
ACHB4_MOUSE	Chrnb4
ACHB_MOUSE	Chrnb1
ACHD_MOUSE	Chrnd
ACHE_MOUSE	Chrne
ACHG_MOUSE	Chrng
ACINU_MOUSE	Acin1
ACK1_MOUSE	Tnk2
ACKR1_MOUSE	Ackr1
ACKR2_MOUSE	Ackr2
ACKR3_MOUSE	Ackr3
ACKR4_MOUSE	Ackr4
ACL10_MOUSE	Actl10
ACL6A_MOUSE	Actl6a
ACL6B_MOUSE	Actl6b
ACL7A_MOUSE	Actl7a
ACL7B_MOUSE	Actl7b
ACLY_MOUSE	Acly
ACM1_MOUSE	Chrm1
ACM2_MOUSE	Chrm2
ACM3_MOUSE	Chrm3
ACM4_MOUSE	Chrm4
ACM5_MOUSE	Chrm5
ACMSD_MOUSE	Acmsd
ACNT1_MOUSE	Acnat1
ACNT2_MOUSE	Acnat2
ACO10_MOUSE	Acot10
ACO11_MOUSE	Acot11
ACO12_MOUSE	Acot12
ACO13_MOUSE	Acot13
ACO15_MOUSE	Them5
ACOC_MOUSE	Aco1
ACOD1_MOUSE	Scd1
ACOD2_MOUSE	Scd2
ACON_MOUSE	Aco2
ACOT1_MOUSE	Acot1
ACOT2_MOUSE	Acot2
ACOT3_MOUSE	Acot3
ACOT4_MOUSE	Acot4
ACOT5_MOUSE	Acot5
ACOT6_MOUSE	Acot6
ACOT8_MOUSE	Acot8
ACOT9_MOUSE	Acot9
ACOX1_MOUSE	Acox1
ACOX2_MOUSE	Acox2
ACOX3_MOUSE	Acox3
ACOXL_MOUSE	Acoxl
ACP7_MOUSE	Acp7
ACPM_MOUSE	Ndufab1
ACRBP_MOUSE	Acrbp
ACRO_MOUSE	Acr
ACS2L_MOUSE	Acss1
ACSA_MOUSE	Acss2
ACSF2_MOUSE	Acsf2
ACSF3_MOUSE	Acsf3
ACSF4_MOUSE	Aasdh
ACSL1_MOUSE	Acsl1
ACSL3_MOUSE	Acsl3
ACSL4_MOUSE	Acsl4
ACSL5_MOUSE	Acsl5
ACSL6_MOUSE	Acsl6
ACSM1_MOUSE	Acsm1
ACSM2_MOUSE	Acsm2
ACSM3_MOUSE	Acsm3
ACSM4_MOUSE	Acsm4
ACSM5_MOUSE	Acsm5
ACSS3_MOUSE	Acss3
ACTA_MOUSE	Acta2
ACTBL_MOUSE	Actbl2
ACTB_MOUSE	Actb
ACTC_MOUSE	Actc1
ACTG_MOUSE	Actg1
ACTHR_MOUSE	Mc2r
ACTH_MOUSE	Actg2
ACTL9_MOUSE	Actl9
ACTN1_MOUSE	Actn1
ACTN2_MOUSE	Actn2
ACTN3_MOUSE	Actn3
ACTN4_MOUSE	Actn4
ACTS_MOUSE	Acta1
ACTT1_MOUSE	Actrt1
ACTT2_MOUSE	Actrt2
ACTT3_MOUSE	Actrt3
ACTY_MOUSE	Actr1b
ACTZ_MOUSE	Actr1a
ACV1B_MOUSE	Acvr1b
ACV1C_MOUSE	Acvr1c
ACVL1_MOUSE	Acvrl1
ACVR1_MOUSE	Acvr1
ACY1_MOUSE	Acy1
ACY2_MOUSE	Aspa
ACY3_MOUSE	Acy3
ACYP1_MOUSE	Acyp1
ACYP2_MOUSE	Acyp2
AD26A_MOUSE	Adam26a
ADA10_MOUSE	Adam10
ADA11_MOUSE	Adam11
ADA12_MOUSE	Adam12
ADA15_MOUSE	Adam15
ADA17_MOUSE	Adam17
ADA18_MOUSE	Adam18
ADA19_MOUSE	Adam19
ADA1A_MOUSE	Adra1a
ADA1B_MOUSE	Adra1b
ADA1D_MOUSE	Adra1d
ADA21_MOUSE	Adam21
ADA22_MOUSE	Adam22
ADA23_MOUSE	Adam23
ADA24_MOUSE	Adam24
ADA25_MOUSE	Adam25
ADA28_MOUSE	Adam28
ADA29_MOUSE	Adam29
ADA2A_MOUSE	Adra2a
ADA2B_MOUSE	Adra2b
ADA2C_MOUSE	Adra2c
ADA32_MOUSE	Adam32
ADA33_MOUSE	Adam33
ADAD1_MOUSE	Adad1
ADAD2_MOUSE	Adad2
ADAL_MOUSE	Adal
ADAM2_MOUSE	Adam2
ADAM5_MOUSE	Adam5
ADAM7_MOUSE	Adam7
ADAM8_MOUSE	Adam8
ADAM9_MOUSE	Adam9
ADAP2_MOUSE	Adap2
ADAS_MOUSE	Agps
ADAT1_MOUSE	Adat1
ADAT2_MOUSE	Adat2
ADAT3_MOUSE	Adat3
ADA_MOUSE	Ada
ADCK1_MOUSE	Adck1
ADCK2_MOUSE	Adck2
ADCK3_MOUSE	Adck3
ADCK4_MOUSE	Adck4
ADCK5_MOUSE	Adck5
ADCL3_MOUSE	Aadacl3
ADCL4_MOUSE	Aadacl4
ADCY1_MOUSE	Adcy1
ADCY2_MOUSE	Adcy2
ADCY3_MOUSE	Adcy3
ADCY4_MOUSE	Adcy4
ADCY5_MOUSE	Adcy5
ADCY6_MOUSE	Adcy6
ADCY7_MOUSE	Adcy7
ADCY8_MOUSE	Adcy8
ADCY9_MOUSE	Adcy9
ADCYA_MOUSE	Adcy10
ADDA_MOUSE	Add1
ADDB_MOUSE	Add2
ADDG_MOUSE	Add3
ADEC1_MOUSE	Adamdec1
ADGB_MOUSE	Adgb
ADH1_MOUSE	Adh1
ADH4_MOUSE	Adh4
ADH7_MOUSE	Adh7
ADHX_MOUSE	Adh5
ADIG_MOUSE	Adig
ADIPL_MOUSE	Fam132a
ADIPO_MOUSE	Adipoq
ADIP_MOUSE	Ssx2ip
ADK_MOUSE	Adk
ADM1A_MOUSE	Adam1a
ADM1B_MOUSE	Adam1b
ADM2_MOUSE	Adm2
