From	To
1433B_HUMAN	hsa:7529
1433E_HUMAN	hsa:7531
1433F_HUMAN	hsa:7533
1433G_HUMAN	hsa:7532
1433S_HUMAN	hsa:2810
1433T_HUMAN	hsa:10971
1433Z_HUMAN	hsa:7534
1A01_HUMAN	hsa:3105
1A1L1_HUMAN	hsa:84680
1A1L2_HUMAN	hsa:390110
1B07_HUMAN	hsa:3106
2A5A_HUMAN	hsa:5525
2A5B_HUMAN	hsa:5526
2A5D_HUMAN	hsa:5528
2A5E_HUMAN	hsa:5529
2A5G_HUMAN	hsa:5527
2AAA_HUMAN	hsa:5518
2AAB_HUMAN	hsa:5519
2ABA_HUMAN	hsa:5520
2ABB_HUMAN	hsa:5521
2ABD_HUMAN	hsa:55844
2ABG_HUMAN	hsa:5522
2B13_HUMAN	hsa:3123
3BHS1_HUMAN	hsa:3283
3BHS2_HUMAN	hsa:3284
3BHS7_HUMAN	hsa:80270
3BP1_HUMAN	hsa:23616
3BP2_HUMAN	hsa:6452
3BP5L_HUMAN	hsa:80851
3BP5_HUMAN	hsa:9467
3HAO_HUMAN	hsa:23498
3HIDH_HUMAN	hsa:11112
3MG_HUMAN	hsa:4350
41_HUMAN	hsa:2035
4EBP1_HUMAN	hsa:1978
4EBP2_HUMAN	hsa:1979
4EBP3_HUMAN	hsa:8637
4ET_HUMAN	hsa:56478
4F2_HUMAN	hsa:6520
5HT1A_HUMAN	hsa:3350
5HT1B_HUMAN	hsa:3351
5HT1D_HUMAN	hsa:3352
5HT1E_HUMAN	hsa:3354
5HT1F_HUMAN	hsa:3355
5HT2A_HUMAN	hsa:3356
5HT2B_HUMAN	hsa:3357
5HT2C_HUMAN	hsa:3358
5HT3A_HUMAN	hsa:3359
5HT3B_HUMAN	hsa:9177
5HT3C_HUMAN	hsa:170572
5HT3D_HUMAN	hsa:200909
5HT3E_HUMAN	hsa:285242
5HT4R_HUMAN	hsa:3360
5HT5A_HUMAN	hsa:3361
5HT6R_HUMAN	hsa:3362
5HT7R_HUMAN	hsa:3363
5NT1A_HUMAN	hsa:84618
5NT1B_HUMAN	hsa:93034
5NT3A_HUMAN	hsa:51251
5NT3B_HUMAN	hsa:115024
5NTC_HUMAN	hsa:22978
5NTD_HUMAN	hsa:4907
68MP_HUMAN	hsa:9556
6PGD_HUMAN	hsa:5226
6PGL_HUMAN	hsa:25796
7B2_HUMAN	hsa:6447
8ODP_HUMAN	hsa:4521
A14EL_HUMAN	hsa:644100
A16A1_HUMAN	hsa:126133
A16L1_HUMAN	hsa:55054
A16L2_HUMAN	hsa:89849
A1AG1_HUMAN	hsa:5004
A1AG2_HUMAN	hsa:5005
A1AT_HUMAN	hsa:5265
A1BG_HUMAN	hsa:1
A1CF_HUMAN	hsa:29974
A20A1_HUMAN	hsa:84210
A20A2_HUMAN	hsa:441430
A20A3_HUMAN	hsa:441425
A20A4_HUMAN	hsa:728747
A2AP_HUMAN	hsa:5345
A2GL_HUMAN	hsa:116844
A2MG_HUMAN	hsa:2
A2ML1_HUMAN	hsa:144568
A4GAT_HUMAN	hsa:53947
A4GCT_HUMAN	hsa:51146
A4_HUMAN	hsa:351
A7L3B_HUMAN	hsa:552889
AA1R_HUMAN	hsa:134
AA2AR_HUMAN	hsa:135
AA2BR_HUMAN	hsa:136
AA3R_HUMAN	hsa:140
AAA1_HUMAN	hsa:56301
AAAD_HUMAN	hsa:13
AAAS_HUMAN	hsa:8086
AAAT_HUMAN	hsa:6510
AACS_HUMAN	hsa:65985
AACT_HUMAN	hsa:12
AADAT_HUMAN	hsa:51166
AAED1_HUMAN	hsa:195827
AAGAB_HUMAN	hsa:79719
AAK1_HUMAN	hsa:22848
AAKB1_HUMAN	hsa:5564
AAKB2_HUMAN	hsa:5565
AAKG1_HUMAN	hsa:5571
AAKG2_HUMAN	hsa:51422
AAKG3_HUMAN	hsa:53632
AAMDC_HUMAN	hsa:28971
AAMP_HUMAN	hsa:14
AAPK1_HUMAN	hsa:5562
AAPK2_HUMAN	hsa:5563
AAR2_HUMAN	hsa:25980
AARD_HUMAN	hsa:441376
AASD1_HUMAN	hsa:100885850
AASD1_HUMAN	hsa:80755
AASS_HUMAN	hsa:10157
AATC2_HUMAN	hsa:137362
AATC_HUMAN	hsa:2805
AATF_HUMAN	hsa:26574
AATM_HUMAN	hsa:2806
AB12B_HUMAN	hsa:145447
AB17A_HUMAN	hsa:81926
AB17B_HUMAN	hsa:51104
AB17C_HUMAN	hsa:58489
AB1IP_HUMAN	hsa:54518
ABC3A_HUMAN	hsa:100913187
ABC3B_HUMAN	hsa:9582
ABC3C_HUMAN	hsa:27350
ABC3F_HUMAN	hsa:200316
ABC3G_HUMAN	hsa:60489
ABC3H_HUMAN	hsa:164668
ABCA1_HUMAN	hsa:19
ABCA2_HUMAN	hsa:20
ABCA3_HUMAN	hsa:21
ABCA4_HUMAN	hsa:24
ABCA5_HUMAN	hsa:23461
ABCA6_HUMAN	hsa:23460
ABCA7_HUMAN	hsa:10347
ABCA8_HUMAN	hsa:10351
ABCA9_HUMAN	hsa:10350
ABCAA_HUMAN	hsa:10349
ABCAC_HUMAN	hsa:26154
ABCAD_HUMAN	hsa:154664
ABCB5_HUMAN	hsa:340273
ABCB6_HUMAN	hsa:10058
ABCB7_HUMAN	hsa:22
ABCB8_HUMAN	hsa:11194
ABCB9_HUMAN	hsa:23457
ABCBA_HUMAN	hsa:23456
ABCBB_HUMAN	hsa:8647
ABCC8_HUMAN	hsa:6833
