From	To
1433B_MOUSE	mmu:54401
1433E_MOUSE	mmu:22627
1433F_MOUSE	mmu:22629
1433G_MOUSE	mmu:22628
1433S_MOUSE	mmu:55948
1433T_MOUSE	mmu:22630
1433Z_MOUSE	mmu:22631
1A1L1_MOUSE	mmu:329470
1A1L2_MOUSE	mmu:381411
2A5A_MOUSE	mmu:226849
2A5E_MOUSE	mmu:26932
2A5G_MOUSE	mmu:26931
2AAA_MOUSE	mmu:51792
2AAB_MOUSE	mmu:73699
2ABA_MOUSE	mmu:71978
2ABB_MOUSE	mmu:72930
2ABD_MOUSE	mmu:52432
2ABG_MOUSE	mmu:269643
3BHS1_MOUSE	mmu:15492
3BHS2_MOUSE	mmu:15493
3BHS3_MOUSE	mmu:15494
3BHS4_MOUSE	mmu:15495
3BHS4_MOUSE	mmu:100043456
3BHS5_MOUSE	mmu:15496
3BHS6_MOUSE	mmu:15497
3BHS7_MOUSE	mmu:101502
3BP5L_MOUSE	mmu:79566
3BP5_MOUSE	mmu:24056
3HAO_MOUSE	mmu:107766
3HIDH_MOUSE	mmu:58875
3MG_MOUSE	mmu:268395
41_MOUSE	mmu:269587
4EBP1_MOUSE	mmu:13685
4EBP2_MOUSE	mmu:13688
4EBP3_MOUSE	mmu:108112
4ET_MOUSE	mmu:74203
4F2_MOUSE	mmu:17254
5HT1A_MOUSE	mmu:15550
5HT1B_MOUSE	mmu:15551
5HT1D_MOUSE	mmu:15552
5HT1F_MOUSE	mmu:15557
5HT2A_MOUSE	mmu:15558
5HT2B_MOUSE	mmu:15559
5HT2C_MOUSE	mmu:15560
5HT3A_MOUSE	mmu:15561
5HT3B_MOUSE	mmu:57014
5HT4R_MOUSE	mmu:15562
5HT5A_MOUSE	mmu:15563
5HT6R_MOUSE	mmu:15565
5HT7R_MOUSE	mmu:15566
5NT1A_MOUSE	mmu:230718
5NT1B_MOUSE	mmu:70881
5NT3A_MOUSE	mmu:107569
5NT3B_MOUSE	mmu:68106
5NTC_MOUSE	mmu:76952
5NTD_MOUSE	mmu:23959
68MP_MOUSE	mmu:70257
6PGD_MOUSE	mmu:110208
6PGL_MOUSE	mmu:66171
7B2_MOUSE	mmu:20394
8ODP_MOUSE	mmu:17766
A14EL_MOUSE	mmu:381142
A16A1_MOUSE	mmu:69748
A16L1_MOUSE	mmu:77040
A16L2_MOUSE	mmu:73683
A1AG1_MOUSE	mmu:18405
A1AG2_MOUSE	mmu:18406
A1AT1_MOUSE	mmu:20700
A1AT2_MOUSE	mmu:20701
A1AT3_MOUSE	mmu:20702
A1AT4_MOUSE	mmu:20703
A1AT5_MOUSE	mmu:20704
A1AT6_MOUSE	mmu:68348
A1BG_MOUSE	mmu:117586
A1CF_MOUSE	mmu:69865
A2AP_MOUSE	mmu:18816
A2MG_MOUSE	mmu:232345
A3LT2_MOUSE	mmu:215493
A4GAT_MOUSE	mmu:239559
A4_MOUSE	mmu:11820
A7L3B_MOUSE	mmu:382423
AA1R_MOUSE	mmu:11539
AA2AR_MOUSE	mmu:11540
AA2BR_MOUSE	mmu:11541
AAA1_MOUSE	mmu:53896
AAAD_MOUSE	mmu:67758
AAAS_MOUSE	mmu:223921
AACS_MOUSE	mmu:78894
AADAT_MOUSE	mmu:23923
AAED1_MOUSE	mmu:66129
AAGAB_MOUSE	mmu:66939
AAK1_MOUSE	mmu:269774
AAKB1_MOUSE	mmu:19079
AAKB2_MOUSE	mmu:108097
AAKG1_MOUSE	mmu:19082
AAKG2_MOUSE	mmu:108099
AAKG3_MOUSE	mmu:241113
AAMDC_MOUSE	mmu:66273
AAPK1_MOUSE	mmu:105787
AAPK2_MOUSE	mmu:108079
AAR2_MOUSE	mmu:68295
AARD_MOUSE	mmu:239435
AASD1_MOUSE	mmu:69684
AASS_MOUSE	mmu:30956
AATC2_MOUSE	mmu:76615
AATC_MOUSE	mmu:14718
AATF_MOUSE	mmu:56321
